Distribution,Size,Algorithm,Threads,Batch_Size,Batch-insert_Time_Seconds
uniform,1M,mvq,1,0.01,1.192918
uniform,1M,mvq,1,0.100000,0.566994
uniform,1M,mvq,1,0.250000,0.361134
uniform,1M,mvq,1,0.500000,0.274226
uniform,1M,mvq,1,1.000000,0.231017
uniform,1M,pacz,1,0.01,2.236876
uniform,1M,pacz,1,0.100000,0.677974
uniform,1M,pacz,1,0.250000,0.387860
uniform,1M,pacz,1,0.500000,0.286404
uniform,1M,pacz,1,1.000000,0.236198
uniform,1M,boost,1,10000,0.087396
uniform,1M,boost,1,20000,0.146928
uniform,1M,boost,1,50000,0.248759
uniform,1M,boost,1,100000,0.31822
uniform,1M,boost,1,200000,0.408904
uniform,1M,boost,1,500000,0.697421
uniform,1M,boost,1,1000000,1.2817
uniform,1M,boost,1,1000000,1.31017
uniform,1M,boost,1,1000000,1.24061
uniform,1M,boost,1,1000000,1.27289
uniform,1M,boost,1,1000000,1.27427
uniform,1M,boost,1,1000000,1.26006
uniform,1M,boost,1,1000000,1.26687
