Distribution,Size,Algorithm,Threads,Batch_Size,Batch-insert_Time_Seconds,Memory_MB
uniform,1M,mvq,1,0.01,1.152828,942.228
uniform,1M,mvq,1,0.500000,0.280181,203.346603
uniform,1M,mvq,1,1.000000,0.237249,146.210861
uniform,1M,pacz,1,0.01,2.206369,3865.74
uniform,1M,pacz,1,0.500000,0.271538,236.246506
uniform,1M,pacz,1,1.000000,0.225932,155.960442
uniform,1M,boost,1,0.01,1.26437,124.644
uniform,1M,boost,1,0.5,1.24872,124.644
uniform,1M,boost,1,1,1.25713,124.644
uniform,1M,rlog,1,0.01,0.031629,41.1015
uniform,1M,rlog,1,0.5,0.036969,41.1015
uniform,1M,rlog,1,1,0.0283057,41.1015
uniform,1M,pkdtree,1,0.01,0.687392,N/A
uniform,1M,pkdtree,1,0.5,0.354502,N/A
uniform,1M,pkdtree,1,1,0.344108,N/A
uniform,1M,pkdlog,1,0.01,0.0273433,N/A
uniform,1M,pkdlog,1,0.5,0.0300883,N/A
uniform,1M,pkdlog,1,1,0.0282283,N/A
