Distribution,Size,Algorithm,Threads,Build_Time_Seconds
uniform,1M,mvq,1,0.183589
uniform,1M,pacz,1,0.190279
uniform,1M,boost,1,0.188226
uniform,1M,rlog,1,0.185576
uniform,1M,pkdtree,1,0.27982
uniform,1M,pkdlog,1,0.280638
uniform,10M,mvq,1,2.029003
uniform,10M,pacz,1,2.051571
uniform,10M,boost,1,2.3999
uniform,10M,rlog,1,2.43139
uniform,10M,pkdtree,1,4.27267
uniform,10M,pkdlog,1,4.26811
uniform,20M,mvq,1,4.804412
uniform,20M,pacz,1,5.936283
uniform,20M,boost,1,5.1962
uniform,20M,rlog,1,5.19075
