Algo | QType | QID | Count | Hash | Time_ms | Mem_Tree_MB | Mem_Delta_MB | Nodes
PACZ | Range_Small | 0 | 172 | 2524764983202 | 0.0073115 | 60.4099 | 0 | 151
PACZ | Range_Small | 1 | 618 | 6897625797102 | 0.0162919 | 60.4099 | 0 | 329
PACZ | Range_Small | 2 | 1586 | 18835691908548 | 0.0219345 | 60.4099 | 0 | 367
PACZ | Range_Small | 3 | 24 | 105618015504 | 0.0046889 | 60.4099 | 0 | 173
PACZ | Range_Small | 4 | 1221 | 15054346587552 | 0.015974 | 60.4099 | 0 | 305
PACZ | Range_Small | 5 | 892 | 10684443783066 | 0.0139872 | 60.4099 | 0 | 321
PACZ | Range_Small | 6 | 275 | 3738380532456 | 0.00603994 | 60.4099 | 0 | 161
PACZ | Range_Small | 7 | 1354 | 18758089679529 | 0.0256697 | 60.4099 | 0 | 327
PACZ | Range_Small | 8 | 65 | 790423880535 | 0.0046889 | 60.4099 | 0 | 155
PACZ | Range_Small | 9 | 676 | 9194948224797 | 0.0123183 | 60.4099 | 0 | 245
PACZ | Range_Small | 10 | 114 | 559312905249 | 0.0130335 | 60.4099 | 0 | 151
PACZ | Range_Small | 11 | 4249 | 54240153166236 | 0.0673135 | 60.4099 | 0 | 765
PACZ | Range_Small | 12 | 878 | 10901845579794 | 0.0193119 | 60.4099 | 0 | 419
PACZ | Range_Small | 13 | 10310 | 128877170814888 | 0.150681 | 60.4099 | 0 | 1337
PACZ | Range_Small | 14 | 1704 | 20294406161841 | 0.0332991 | 60.4099 | 0 | 359
PACZ | Range_Small | 15 | 1949 | 23386529206107 | 0.0253518 | 60.4099 | 0 | 357
PACZ | Range_Small | 16 | 1660 | 26356243076085 | 0.0249545 | 60.4099 | 0 | 427
PACZ | Range_Small | 17 | 440 | 4278506648169 | 0.0107288 | 60.4099 | 0 | 221
PACZ | Range_Small | 18 | 1574 | 16404208330359 | 0.0306765 | 60.4099 | 0 | 417
PACZ | Range_Small | 19 | 416 | 3919996504656 | 0.00834465 | 60.4099 | 0 | 245
PACZ | Range_Small | 20 | 259 | 3154926088848 | 0.00802676 | 60.4099 | 0 | 205
PACZ | Range_Small | 21 | 40 | 501498459777 | 0.00603994 | 60.4099 | 0 | 189
PACZ | Range_Small | 22 | 5069 | 62278325892867 | 0.0563463 | 60.4099 | 0 | 725
PACZ | Range_Small | 23 | 2431 | 29153480216727 | 0.0332991 | 60.4099 | 0 | 465
PACZ | Range_Small | 24 | 1380 | 16562584453902 | 0.0246366 | 60.4099 | 0 | 373
PACZ | Range_Small | 25 | 6900 | 86311763199132 | 0.100056 | 60.4099 | 0 | 973
PACZ | Range_Small | 26 | 577 | 7264591630434 | 0.0156562 | 60.4099 | 0 | 269
PACZ | Range_Small | 27 | 4402 | 40394937291975 | 0.0489553 | 60.4099 | 0 | 577
PACZ | Range_Small | 28 | 6692 | 84144567986457 | 0.0819365 | 60.4099 | 0 | 841
PACZ | Range_Small | 29 | 51 | 224462445129 | 0.00397364 | 60.4099 | 0 | 143
PACZ | Range_Small | 30 | 106 | 1494604026537 | 0.00603994 | 60.4099 | 0 | 195
