Algo | CS_ID | Year | Adds | Rems | Time_ms | Mem_Tree_MB | Mem_Delta_MB | DeltaData_MB
MVQ | 55086313 | 2018 | 0 | 0 | 0.0140667 | 47.9722 | 0.0 | 0
MVQ | 55095452 | 2018 | 0 | 0 | 0.00286102 | 47.9722 | 0.0 | 0
MVQ | 55096456 | 2018 | 0 | 0 | 0.00190735 | 47.9723 | 0.0 | 0
MVQ | 55102837 | 2018 | 0 | 0 | 0.00190735 | 47.9723 | 0.0 | 0
MVQ | 55108377 | 2018 | 0 | 0 | 0.00190735 | 47.9724 | 0.0 | 0
MVQ | 55117041 | 2018 | 0 | 0 | 0.00190735 | 47.9724 | 0.0 | 0
MVQ | 55131703 | 2018 | 0 | 0 | 0.00190735 | 47.9724 | 0.0 | 0
MVQ | 55148154 | 2018 | 0 | 0 | 0.00500679 | 47.9725 | 0.0 | 0
MVQ | 55173650 | 2018 | 0 | 0 | 0.00190735 | 47.9725 | 0.0 | 0
MVQ | 55178897 | 2018 | 0 | 0 | 0.00214577 | 47.9726 | 0.0 | 0
MVQ | 55197815 | 2018 | 0 | 0 | 0.00309944 | 47.9726 | 0.0 | 0
MVQ | 55208047 | 2018 | 0 | 0 | 0.00214577 | 47.9727 | 0.0 | 0
MVQ | 55208188 | 2018 | 0 | 0 | 0.00190735 | 47.9727 | 0.0 | 0
MVQ | 55216367 | 2018 | 0 | 0 | 0.00190735 | 47.9728 | 0.0 | 0
MVQ | 55220095 | 2018 | 0 | 0 | 0.00190735 | 47.9728 | 0.0 | 0
MVQ | 55232475 | 2018 | 0 | 0 | 0.000953674 | 47.9729 | 0.0 | 0
MVQ | 55233215 | 2018 | 0 | 0 | 0.000953674 | 47.9729 | 0.0 | 0
MVQ | 55235388 | 2018 | 0 | 0 | 0.000953674 | 47.9729 | 0.0 | 0
MVQ | 55244520 | 2018 | 0 | 0 | 0.000953674 | 47.973 | 0.0 | 0
MVQ | 55255337 | 2018 | 0 | 0 | 0 | 47.973 | 0.0 | 0
MVQ | 55274030 | 2018 | 0 | 0 | 0 | 47.9731 | 0.0 | 0
