Algo | CS_ID | Year | Adds | Rems | Time_ms | Mem_Tree_MB | Mem_Delta_MB | DeltaData_MB
PACZ | 55086313 | 2018 | 0 | 0 | 0.015974 | 44.2834 | 0.0 | 0
PACZ | 55095452 | 2018 | 0 | 0 | 0.0369549 | 44.2834 | 0.0 | 0
PACZ | 55096456 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55102837 | 2018 | 0 | 0 | 0.000953674 | 44.2834 | 0.0 | 0
PACZ | 55108377 | 2018 | 0 | 0 | 0.000953674 | 44.2834 | 0.0 | 0
PACZ | 55117041 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55131703 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55148154 | 2018 | 0 | 0 | 0.000953674 | 44.2834 | 0.0 | 0
PACZ | 55173650 | 2018 | 0 | 0 | 0.00119209 | 44.2834 | 0.0 | 0
PACZ | 55178897 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55197815 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55208047 | 2018 | 0 | 0 | 0.000953674 | 44.2834 | 0.0 | 0
PACZ | 55208188 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55216367 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55220095 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55232475 | 2018 | 0 | 0 | 0.000953674 | 44.2834 | 0.0 | 0
PACZ | 55233215 | 2018 | 0 | 0 | 0.000953674 | 44.2834 | 0.0 | 0
PACZ | 55235388 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55244520 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55255337 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55274030 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55284971 | 2018 | 0 | 0 | 0.00119209 | 44.2834 | 0.0 | 0
PACZ | 55314351 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55315913 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55317948 | 2018 | 0 | 0 | 0 | 44.2834 | 0.0 | 0
PACZ | 55328901 | 2018 | 0 | 0 | 0.000953674 | 44.2834 | 0.0 | 0
PACZ | 55358129 | 2018 | 0 | 1 | 0.0300407 | 44.2904 | 0.0 | 3.05176e-05
PACZ | 55358936 | 2018 | 0 | 0 | 0 | 44.2904 | 0.0 | 0
PACZ | 55359730 | 2018 | 0 | 0 | 0 | 44.2904 | 0.0 | 0
PACZ | 55373546 | 2018 | 0 | 0 | 0.000953674 | 44.2904 | 0.0 | 0
PACZ | 55377189 | 2018 | 0 | 0 | 0 | 44.2904 | 0.0 | 0
PACZ | 55380139 | 2018 | 0 | 0 | 0.000953674 | 44.2904 | 0.0 | 0
PACZ | 55381745 | 2018 | 0 | 0 | 0.000953674 | 44.2904 | 0.0 | 0
PACZ | 55382571 | 2018 | 0 | 0 | 0 | 44.2904 | 0.0 | 0
PACZ | 55386158 | 2018 | 0 | 0 | 0 | 44.2904 | 0.0 | 0
PACZ | 55386885 | 2018 | 0 | 130 | 0.0360012 | 44.3241 | 0.0 | 0.00396729
PACZ | 55398730 | 2018 | 0 | 0 | 0 | 44.3241 | 0.0 | 0
PACZ | 55402364 | 2018 | 0 | 0 | 0.000953674 | 44.3241 | 0.0 | 0
PACZ | 55402739 | 2018 | 0 | 0 | 0.00119209 | 44.3241 | 0.0 | 0
PACZ | 55414231 | 2018 | 0 | 0 | 0 | 44.3241 | 0.0 | 0
PACZ | 55433905 | 2018 | 0 | 0 | 0 | 44.3241 | 0.0 | 0
PACZ | 55436113 | 2018 | 0 | 0 | 0 | 44.3241 | 0.0 | 0
PACZ | 55451269 | 2018 | 0 | 0 | 0.000953674 | 44.3241 | 0.0 | 0
PACZ | 55463704 | 2018 | 0 | 0 | 0 | 44.3241 | 0.0 | 0
PACZ | 55463749 | 2018 | 0 | 0 | 0 | 44.3241 | 0.0 | 0
PACZ | 55473440 | 2018 | 0 | 0 | 0 | 44.3241 | 0.0 | 0
PACZ | 55480065 | 2018 | 0 | 0 | 0.000953674 | 44.3241 | 0.0 | 0
PACZ | 55483050 | 2018 | 0 | 0 | 0 | 44.3241 | 0.0 | 0
PACZ | 55488991 | 2018 | 0 | 0 | 0 | 44.3241 | 0.0 | 0
PACZ | 55489163 | 2018 | 0 | 0 | 0 | 44.3241 | 0.0 | 0
